0.00,0.00;
0.22,0.22;
0.62,0.61;
0.80,0.80;
0.90,0.90;
0.94,0.94;
0.98,0.97;
0.99,0.99;
1.01,1.01;
1.01,1.01;
0.92,0.92;
1.01,1.02;
0.93,0.93;
1.02,1.02;
0.94,0.94;
1.03,1.02;
0.93,0.93;
1.03,1.02;
0.93,0.93;
1.01,1.02;
0.94,0.93;
1.03,1.03;
0.93,0.94;
1.03,1.03;
1.03,1.02;
1.03,1.03;
0.94,0.94;
1.03,1.03;
0.94,0.94;
1.03,1.03;
0.93,0.93;
1.03,1.03;
0.94,0.93;
1.03,1.03;
0.93,0.93;
1.03,1.04;
0.94,0.93;
1.03,1.04;
1.04,1.04;
1.01,1.01;
0.93,0.93;
1.02,1.02;
0.94,0.94;
1.03,1.03;
0.94,0.94;
1.04,1.02;
0.93,0.94;
1.04,1.03;
0.93,0.94;
1.03,1.02;
0.94,0.94;
1.03,1.03;
0.94,0.94;
1.03,1.02;
1.03,1.03;
1.01,1.01;
0.93,0.93;
1.03,1.03;
0.93,0.93;
1.03,1.03;
0.93,0.92;
1.03,1.03;
0.94,0.94;
1.03,1.03;
0.93,0.94;
1.03,1.04;
0.93,0.93;
1.03,1.03;
1.03,1.03;
1.03,1.04;
0.94,0.94;
1.02,1.03;
0.94,0.93;
1.03,1.03;
0.93,0.94;
1.03,1.04;
0.94,0.93;
1.03,1.02;
0.94,0.93;
1.04,1.03;
0.94,0.94;
1.04,1.04;
0.94,0.94;
1.04,1.04;
1.04,1.04;
1.04,1.04;
0.94,0.94;
1.04,1.04;
0.95,0.94;
1.03,1.03;
0.94,0.94;
1.04,1.04;
0.97,0.95;
1.04,1.04;
0.94,0.95;
1.04,1.03;
0.94,0.94;
1.03,1.03;
1.03,1.03;
1.04,1.04;
0.95,0.95;
1.06,1.04;
0.94,0.95;
1.04,1.06;
0.95,0.95;
1.06,1.06;
0.94,0.94;
1.04,1.06;
0.95,0.94;
1.04,1.06;
0.95,0.95;
1.06,1.07;
0.97,0.95;
1.06,1.07;
1.06,1.06;
1.03,1.02;
0.95,0.95;
1.03,1.03;
0.95,0.95;
1.04,1.06;
0.95,0.95;
1.06,1.07;
0.95,0.95;
1.04,1.04;
0.95,0.94;
1.06,1.07;
0.95,0.95;
1.04,1.06;
1.06,1.06;
1.07,1.06;
0.97,0.97;
1.06,1.06;
0.95,0.94;
1.04,1.04;
0.95,0.95;
1.06,1.06;
0.95,0.95;
1.06,1.06;
0.97,0.95;
1.04,1.06;
0.97,0.97;
