0.00,0.00;
0.17,0.14;
0.44,0.41;
0.61,0.54;
0.70,0.63;
0.75,0.68;
0.79,0.72;
0.81,0.75;
0.76,0.70;
0.82,0.77;
0.76,0.70;
0.82,0.79;
0.77,0.71;
0.85,0.80;
0.79,0.72;
0.85,0.79;
0.77,0.72;
0.86,0.80;
0.77,0.73;
0.86,0.81;
0.85,0.80;
0.84,0.79;
0.76,0.72;
0.85,0.80;
0.77,0.72;
0.86,0.79;
0.77,0.73;
0.86,0.81;
0.77,0.73;
0.86,0.80;
0.79,0.73;
0.84,0.80;
0.77,0.73;
0.85,0.81;
0.77,0.73;
0.84,0.80;
0.86,0.81;
0.84,0.80;
0.77,0.72;
0.86,0.81;
0.79,0.73;
0.86,0.81;
0.80,0.73;
0.86,0.81;
0.79,0.73;
0.85,0.81;
0.77,0.73;
0.86,0.80;
0.79,0.73;
0.86,0.81;
0.88,0.81;
0.85,0.81;
0.79,0.75;
0.86,0.82;
0.79,0.75;
0.85,0.81;
0.77,0.73;
0.86,0.81;
0.77,0.73;
0.85,0.81;
0.77,0.73;
0.88,0.81;
0.79,0.73;
0.88,0.82;
0.79,0.73;
0.86,0.81;
0.85,0.81;
0.85,0.81;
0.77,0.73;
0.86,0.81;
0.79,0.73;
0.86,0.81;
0.79,0.75;
0.86,0.81;
0.79,0.75;
0.86,0.81;
0.79,0.75;
0.85,0.81;
0.79,0.75;
0.86,0.81;
0.86,0.81;
0.82,0.80;
0.77,0.73;
0.85,0.81;
0.79,0.75;
0.85,0.81;
0.80,0.73;
0.86,0.81;
0.79,0.75;
0.86,0.82;
0.79,0.73;
0.86,0.81;
0.79,0.73;
0.85,0.81;
0.77,0.73;
0.86,0.82;
0.85,0.82;
0.86,0.82;
0.79,0.75;
0.86,0.81;
0.79,0.75;
0.86,0.82;
0.77,0.73;
0.86,0.81;
0.79,0.75;
0.86,0.82;
0.79,0.75;
0.86,0.81;
0.79,0.75;
0.85,0.81;
0.85,0.81;
0.86,0.81;
0.79,0.75;
0.86,0.82;
0.80,0.75;
0.86,0.82;
0.79,0.75;
0.85,0.81;
0.77,0.75;
0.86,0.81;
0.79,0.75;
0.85,0.81;
0.79,0.75;
0.86,0.82;
0.77,0.75;
0.85,0.81;
0.86,0.81;
0.84,0.80;
0.77,0.73;
0.86,0.81;
0.79,0.75;
0.88,0.82;
0.79,0.75;
0.88,0.84;
0.79,0.75;
0.88,0.82;
0.77,0.76;
0.88,0.84;
0.77,0.75;
0.85,0.81;
0.85,0.81;
