0.00,0.00;
0.22,0.19;
0.59,0.58;
0.77,0.76;
0.85,0.86;
0.92,0.92;
0.94,0.93;
0.94,0.94;
0.95,0.97;
0.95,0.98;
0.95,0.98;
0.95,0.99;
0.95,0.99;
0.97,1.01;
0.95,0.99;
0.97,0.99;
0.95,0.99;
0.98,0.99;
0.98,0.99;
0.98,1.01;
0.97,1.01;
0.98,1.01;
0.98,1.01;
0.98,1.01;
0.98,0.99;
0.98,0.99;
0.98,1.01;
0.99,0.99;
0.98,1.01;
0.99,1.01;
0.98,1.01;
0.99,1.01;
0.99,1.01;
0.99,0.99;
1.01,0.99;
1.01,1.01;
1.01,0.99;
0.99,0.99;
0.99,0.99;
0.99,0.99;
1.01,0.99;
0.99,0.99;
0.99,0.99;
0.99,0.99;
0.99,0.99;
0.99,1.01;
1.01,1.01;
1.01,1.01;
1.01,1.01;
1.02,1.02;
1.02,1.02;
1.01,1.01;
0.99,0.99;
1.01,1.01;
1.01,1.01;
0.99,0.99;
0.99,0.99;
0.99,0.99;
1.01,1.01;
0.97,0.97;
0.99,0.99;
1.01,1.01;
1.01,1.01;
1.01,1.01;
1.01,1.01;
1.01,1.01;
1.02,1.02;
1.01,1.01;
1.01,1.02;
1.02,1.01;
1.01,1.01;
1.01,0.99;
1.01,1.01;
1.01,1.01;
0.99,1.01;
0.98,0.98;
0.99,1.01;
0.99,1.01;
0.99,0.99;
1.01,1.01;
1.01,1.01;
1.02,1.01;
1.02,1.02;
1.01,1.01;
1.01,1.01;
1.02,1.02;
1.01,1.01;
1.01,1.01;
1.02,1.02;
0.98,0.98;
0.99,0.99;
0.99,0.99;
1.01,1.01;
1.01,1.01;
0.99,1.01;
0.99,0.99;
1.01,1.01;
1.02,1.02;
1.02,1.02;
1.01,1.01;
1.01,1.01;
1.01,0.99;
1.01,1.01;
1.02,1.02;
1.01,1.01;
0.98,0.99;
0.99,0.99;
1.01,1.01;
0.99,0.99;
1.01,1.01;
1.01,1.01;
1.01,1.01;
1.02,1.02;
1.01,1.02;
1.02,1.01;
0.99,1.01;
0.99,0.99;
1.01,1.01;
1.01,1.01;
1.01,1.01;
1.02,1.02;
1.02,1.02;
1.01,1.01;
1.01,1.01;
1.01,1.01;
1.01,1.01;
1.01,1.01;
1.02,1.02;
1.01,1.02;
0.99,0.99;
1.01,1.02;
1.01,1.01;
1.02,1.02;
1.01,1.01;
1.02,1.02;
1.02,1.02;
1.02,1.02;
1.02,1.02;
1.01,1.02;
1.01,1.02;
1.02,1.02;
