0.00,0.00;
0.19,0.18;
0.52,0.50;
0.75,0.76;
0.79,0.77;
0.92,0.89;
0.97,0.94;
0.99,0.95;
1.01,0.98;
1.02,0.98;
1.02,0.98;
1.03,0.98;
1.02,0.98;
1.02,0.99;
1.02,0.99;
1.02,0.98;
1.02,0.98;
1.02,0.99;
1.03,0.99;
1.03,0.99;
1.03,0.99;
1.03,0.99;
1.03,0.99;
1.03,1.01;
1.03,0.99;
1.04,1.01;
1.04,0.99;
1.04,1.01;
1.03,0.99;
1.03,0.99;
1.03,0.99;
1.04,0.99;
1.03,1.01;
1.04,0.99;
1.04,1.01;
1.04,1.01;
1.01,0.98;
1.03,0.99;
1.03,0.99;
1.02,1.01;
1.01,1.01;
1.01,1.01;
1.01,1.01;
1.03,1.01;
1.03,1.01;
1.03,0.99;
1.02,0.99;
1.02,1.01;
1.02,0.99;
1.02,0.99;
1.02,1.01;
1.02,1.01;
1.02,1.01;
1.03,1.01;
1.02,0.99;
1.03,1.01;
1.03,1.01;
1.02,1.01;
1.02,1.01;
1.03,1.01;
1.03,0.99;
1.04,0.99;
1.03,0.99;
1.02,0.99;
1.02,1.01;
1.03,0.99;
1.03,1.01;
1.03,1.01;
1.03,1.01;
1.02,0.99;
1.03,0.99;
1.03,1.01;
1.04,1.01;
1.04,1.01;
1.04,1.01;
1.03,1.01;
1.02,1.01;
1.03,1.02;
1.03,1.01;
1.03,1.01;
1.03,1.01;
1.03,1.01;
1.03,1.01;
1.03,1.01;
1.03,1.01;
1.04,1.02;
1.03,1.01;
1.04,1.01;
1.04,1.01;
1.04,1.01;
1.04,1.01;
1.06,1.01;
1.04,1.01;
1.04,1.02;
1.04,1.02;
1.04,1.01;
1.06,1.02;
1.04,1.01;
1.04,1.02;
1.03,1.01;
1.02,1.01;
1.04,1.02;
1.04,1.02;
1.04,1.02;
1.04,1.02;
1.04,1.02;
1.04,1.02;
1.04,1.01;
1.04,1.01;
1.04,1.03;
1.04,1.02;
1.04,1.02;
1.03,1.02;
1.03,1.02;
1.03,1.02;
1.04,1.02;
1.04,1.02;
1.04,1.02;
1.02,1.01;
1.03,1.02;
1.03,1.02;
1.04,1.02;
1.03,1.01;
1.03,1.02;
1.03,1.02;
1.03,1.02;
1.04,1.02;
1.04,1.02;
1.03,1.02;
1.03,1.03;
1.03,1.02;
1.03,1.03;
1.03,1.01;
1.04,1.02;
1.04,1.01;
1.04,1.03;
1.03,1.02;
1.03,1.02;
1.06,1.02;
1.04,1.03;
1.04,1.03;
