0.00,0.00;
0.15,0.15;
0.45,0.41;
0.61,0.57;
0.68,0.66;
0.75,0.72;
0.79,0.75;
0.81,0.76;
0.84,0.80;
0.84,0.80;
0.86,0.80;
0.86,0.81;
0.85,0.81;
0.85,0.80;
0.85,0.82;
0.77,0.75;
0.86,0.82;
0.79,0.76;
0.84,0.81;
0.77,0.73;
0.85,0.81;
0.77,0.73;
0.86,0.82;
0.77,0.75;
0.86,0.82;
0.77,0.75;
0.85,0.81;
0.77,0.75;
0.85,0.82;
0.77,0.75;
0.85,0.82;
0.85,0.82;
0.85,0.84;
0.79,0.76;
0.85,0.82;
0.79,0.75;
0.86,0.82;
0.79,0.76;
0.86,0.82;
0.79,0.75;
0.86,0.84;
0.79,0.75;
0.85,0.82;
0.79,0.73;
0.85,0.84;
0.86,0.82;
0.84,0.81;
0.77,0.73;
0.85,0.82;
0.79,0.75;
0.85,0.84;
0.79,0.75;
0.86,0.84;
0.79,0.76;
0.85,0.84;
0.79,0.76;
0.85,0.82;
0.77,0.75;
0.85,0.82;
0.79,0.75;
0.86,0.82;
0.86,0.81;
0.84,0.80;
0.77,0.73;
0.86,0.81;
0.79,0.75;
0.86,0.82;
0.79,0.75;
0.86,0.82;
0.79,0.75;
0.86,0.82;
0.79,0.75;
0.86,0.84;
0.79,0.76;
0.85,0.82;
0.86,0.82;
0.84,0.81;
0.77,0.75;
0.86,0.81;
0.79,0.76;
0.86,0.81;
0.77,0.73;
0.85,0.82;
0.79,0.75;
0.86,0.82;
0.80,0.76;
0.85,0.82;
0.79,0.76;
0.85,0.82;
0.77,0.75;
0.86,0.84;
0.86,0.82;
0.82,0.81;
0.77,0.73;
0.85,0.81;
0.77,0.75;
0.85,0.81;
0.77,0.75;
0.85,0.82;
0.77,0.75;
0.86,0.82;
0.77,0.75;
0.85,0.82;
0.77,0.75;
0.85,0.82;
0.85,0.84;
0.86,0.82;
0.79,0.76;
0.86,0.84;
0.77,0.75;
0.86,0.82;
0.77,0.75;
0.86,0.82;
0.79,0.76;
0.86,0.82;
0.77,0.75;
0.86,0.84;
0.79,0.76;
0.86,0.84;
0.80,0.75;
0.86,0.84;
0.88,0.84;
0.85,0.82;
0.79,0.77;
0.86,0.84;
0.77,0.75;
0.85,0.84;
0.79,0.76;
0.86,0.84;
0.79,0.76;
0.86,0.84;
0.79,0.76;
0.85,0.82;
0.79,0.75;
0.86,0.82;
0.85,0.82;
0.86,0.84;
0.79,0.76;
0.85,0.82;
0.77,0.75;
0.85,0.82;
